2026-06-30 22:10:28,705 - Method: GET | Path: /api/analytics | IP: 127.0.0.1
2026-06-30 22:10:28,717 - Method: GET | Path: /api/employees | IP: 127.0.0.1
2026-06-30 22:10:28,719 - Method: GET | Path: /api/pending-users | IP: 127.0.0.1
2026-06-30 22:10:32,004 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:32,066 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:32,105 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:32,136 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:10:32,146 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:10:43,716 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:43,760 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:43,791 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:43,821 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:10:43,829 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:10:45,910 - Method: POST | Path: /api/request-join | IP: 127.0.0.1
2026-06-30 22:10:46,978 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:47,011 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:47,043 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:47,071 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:10:47,081 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:10:56,388 - Method: POST | Path: /api/approve-user | IP: 127.0.0.1
2026-06-30 22:10:58,680 - Method: POST | Path: /api/approve-user | IP: 127.0.0.1
2026-06-30 22:10:58,703 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:58,763 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:58,787 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:10:58,817 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
